origin,dutch,fg,nw,openness,conscientiousness,extraversion,agreeableness,neuroticism,ideology,polintr,poleff,involvement,polpar,media,poltr,stfdem,antiimm,eu
202,0,0,1,0.75,0.885714285714286,0.710526315789474,0.714285714285714,0.631578947368421,-0.22478895777485555,-0.838090016999949,0.557578110423251,-0.331162577108004,0.2286018554701579,-1.0198269963415,0.47403159470332085,0.29115261674910337,-0.301814801892633,0.24279844041613038
102,0,1,1,0.388888888888889,0.571428571428571,0.342105263157895,0.371428571428571,0.394736842105263,0.010348956300127131,-0.838090016999949,0.254286110905916,0.141805513787274,-1.0925042162585452,-0.495089063290843,0.24515278335228965,0.057358155958812065,0.017892596271441,-0.6067864305391029
0,1,0,0,0.638888888888889,0.942857142857143,0.763157894736842,0.771428571428571,0.710526315789474,-0.6950647859248209,-0.00671068518950132,-0.352297888128753,-0.331162577108004,0.2286018554701579,-0.495089063290843,0.47403159470332085,0.29115261674910337,-0.172875091249576,-0.18199399506148622
201,0,0,0,0.805555555555556,0.742857142857143,0.657894736842105,0.628571428571429,0.5,0.010348956300127131,-0.00671068518950132,0.860870109940585,0.614773604682551,0.2286018554701579,0.554386802810468,0.47403159470332085,0.29115261674910337,-0.325574458438125,0.667590875893747
202,0,0,1,0.333333333333333,0.457142857142857,0.473684210526316,0.428571428571429,0.447368421052632,-0.45992687184983827,-0.00671068518950132,0.557578110423251,-0.331162577108004,-1.0925042162585452,-0.495089063290843,-0.4414836507008039,-0.6440252264120618,0.423235352415684,0.24279844041613038
0,1,0,0,0.722222222222222,0.742857142857143,0.684210526315789,0.571428571428571,0.263157894736842,0.4806247844500925,-0.00671068518950132,-0.0490058886114185,0.614773604682551,0.2286018554701579,-0.495089063290843,-0.6703624620518351,0.29115261674910337,0.354229181365879,-0.18199399506148622
202,0,0,1,0.777777777777778,0.571428571428571,0.421052631578947,0.685714285714286,0.368421052631579,-0.45992687184983827,0.824668646620947,0.860870109940585,0.614773604682551,0.2286018554701579,0.554386802810468,0.47403159470332085,0.5249470775393946,-0.301814801892633,1.0923833113713637
101,0,1,0,0.527777777777778,0.657142857142857,0.552631578947368,0.485714285714286,0.526315789473684,-0.6950647859248209,-0.00671068518950132,-0.0490058886114185,0.141805513787274,0.2286018554701579,-0.495089063290843,0.47403159470332085,NA,-0.641716621794635,0.24279844041613038
102,0,1,1,0.611111111111111,0.885714285714286,0.342105263157895,0.8,0.184210526315789,0.010348956300127131,-0.838090016999949,-0.655589887646087,-0.331162577108004,NA,0.0296488697598128,-0.4414836507008039,NA,-0.107481879564051,0.24279844041613038
102,0,1,1,0.805555555555556,0.857142857142857,0.842105263157895,0.942857142857143,0.236842105263158,0.010348956300127131,0.824668646620947,0.860870109940585,-0.331162577108004,0.2286018554701579,-0.495089063290843,0.01627397200125847,0.9925359991199773,-1.13561024510608,-0.6067864305391029
0,1,0,0,0.666666666666667,0.714285714285714,0.578947368421053,0.685714285714286,0.289473684210526,0.24548687037510983,0.824668646620947,-0.0490058886114185,-0.331162577108004,0.2286018554701579,0.0296488697598128,0.24515278335228965,0.057358155958812065,-0.465257598060593,0.667590875893747
202,0,0,1,0.361111111111111,0.457142857142857,0.447368421052632,0.542857142857143,0.631578947368421,NA,-0.00671068518950132,-0.0490058886114185,-0.331162577108004,-1.0925042162585452,-1.0198269963415,NA,NA,-0.322009223630561,0.24279844041613038
202,0,0,1,0.527777777777778,0.828571428571429,0.421052631578947,0.8,0.157894736842105,-0.6950647859248209,0.824668646620947,-0.352297888128753,-0.331162577108004,0.2286018554701579,1.07912473586112,0.01627397200125847,-0.17643630483147923,-0.645281856602199,-0.18199399506148622
202,0,0,1,0.694444444444444,0.857142857142857,0.210526315789474,0.685714285714286,0.605263157894737,-0.9302026999998037,0.824668646620947,0.254286110905916,0.141805513787274,0.2286018554701579,0.554386802810468,0.01627397200125847,0.29115261674910337,-0.972167448938119,0.24279844041613038
101,0,1,0,0.777777777777778,0.685714285714286,0.605263157894737,0.771428571428571,0.263157894736842,0.9509006126000579,-0.838090016999949,-0.0490058886114185,0.141805513787274,0.2286018554701579,0.0296488697598128,0.47403159470332085,0.5249470775393946,0.855253274292451,-0.6067864305391029
201,0,0,0,0.5,0.485714285714286,0.263157894736842,0.6,0.631578947368421,0.4806247844500925,-0.00671068518950132,-0.352297888128753,-0.331162577108004,0.2286018554701579,0.554386802810468,-0.4414836507008039,-0.17643630483147923,0.354229181365879,-0.18199399506148622
102,0,1,1,0.555555555555556,0.571428571428571,0.657894736842105,0.714285714285714,0.447368421052632,0.24548687037510983,-0.00671068518950132,0.557578110423251,-0.331162577108004,0.2286018554701579,0.0296488697598128,0.47403159470332085,0.29115261674910337,-0.149115434704083,0.24279844041613038
201,0,0,0,0.444444444444444,0.371428571428571,0.131578947368421,0.685714285714286,0.289473684210526,-0.45992687184983827,-0.00671068518950132,-0.352297888128753,0.614773604682551,0.2286018554701579,0.0296488697598128,0.01627397200125847,0.5249470775393946,-0.138372005724673,NA
101,0,1,0,0.611111111111111,0.685714285714286,0.421052631578947,0.6,0.684210526315789,0.010348956300127131,-0.838090016999949,-0.352297888128753,-0.331162577108004,-1.0925042162585452,-0.495089063290843,0.24515278335228965,-0.17643630483147923,0.521237212341403,-0.6067864305391029
0,1,0,0,0.583333333333333,0.457142857142857,0.578947368421053,0.514285714285714,0.315789473684211,0.4806247844500925,-0.838090016999949,-0.655589887646087,-0.331162577108004,0.2286018554701579,0.0296488697598128,0.01627397200125847,0.29115261674910337,0.388732266890781,NA
201,0,0,0,0.583333333333333,0.657142857142857,0.578947368421053,0.657142857142857,0.368421052631579,0.010348956300127131,-0.838090016999949,-0.352297888128753,-0.331162577108004,0.2286018554701579,0.0296488697598128,0.01627397200125847,-0.17643630483147923,0.205095048984894,NA
201,0,0,0,0.638888888888889,0.742857142857143,0.578947368421053,0.714285714285714,0.210526315789474,-0.45992687184983827,-0.00671068518950132,0.254286110905916,-0.331162577108004,0.2286018554701579,0.554386802810468,-0.21260483934977273,-0.17643630483147923,-0.149115434704083,-0.18199399506148622
102,0,1,1,0.611111111111111,0.657142857142857,0.236842105263158,0.371428571428571,0.684210526315789,-0.45992687184983827,-0.00671068518950132,0.254286110905916,-0.331162577108004,NA,0.0296488697598128,0.7029104060543521,0.29115261674910337,-0.134806770917108,0.667590875893747
0,1,0,0,0.666666666666667,0.314285714285714,0.710526315789474,0.714285714285714,0.842105263157895,NA,-0.838090016999949,-0.0490058886114185,-0.331162577108004,NA,0.0296488697598128,NA,NA,-0.656025285581609,NA
202,0,0,1,0.583333333333333,0.628571428571429,0.605263157894737,0.628571428571429,0.289473684210526,0.24548687037510983,-0.00671068518950132,-0.0490058886114185,-0.331162577108004,0.2286018554701579,0.0296488697598128,0.47403159470332085,0.057358155958812065,0.0143273614638766,0.24279844041613038
